country,cases,todayCases,deaths,todayDeaths,recovered,critical
China,80881,21,3226,13,68715,3226
Italy,27980,0,2158,0,2749,1851
Iran,16169,1178,988,135,5389,0
Spain,11409,1467,509,167,1028,563
S. Korea,8320,84,81,6,1401,59
Germany,8084,812,20,3,67,2
France,6633,0,148,0,12,400
USA,4808,145,94,8,74,12
Switzerland,2672,319,21,2,4,0
UK,1950,407,55,0,52,20
Netherlands,1705,292,43,19,2,45
Norway,1437,89,3,0,1,27
Austria,1332,314,4,1,8,12
Belgium,1243,185,10,0,14,33
Sweden,1190,69,7,0,1,12
Denmark,960,46,4,0,1,18
Japan,876,43,28,0,144,41
Diamond Princess,696,0,7,0,456,15
Malaysia,673,107,2,2,49,10
Australia,452,51,5,0,27,1
Portugal,448,117,1,0,3,18
Canada,440,0,4,0,11,1
Qatar,439,0,0,0,4,0
Czechia,396,52,0,0,3,2
Greece,352,0,4,0,10,5
Israel,324,26,0,0,11,4
Finland,322,44,0,0,10,2
Brazil,301,67,1,1,2,18
Slovenia,273,20,1,0,0,4
Singapore,266,23,0,0,114,14
Bahrain,237,9,1,0,81,3
Pakistan,236,52,1,0,2,0
Estonia,225,20,0,0,1,0
Ireland,223,0,2,0,5,6
Poland,221,44,5,1,0,3
Iceland,220,21,1,1,5,1
Chile,201,45,0,0,0,3
Philippines,187,45,12,0,5,1
Romania,184,16,0,0,16,5
Thailand,177,30,1,0,41,1
Indonesia,172,38,5,0,8,0
Egypt,169,3,4,0,32,0
Hong Kong,162,7,4,0,81,4
Iraq,154,21,11,1,41,0
Luxembourg,140,59,1,0,0,10
India,137,8,3,1,14,0
Saudi Arabia,133,0,0,0,6,0
Kuwait,130,7,0,0,12,4
Lebanon,120,11,3,0,4,3
Peru,117,31,0,0,1,8
Russia,114,21,0,0,8,0
San Marino,102,0,9,2,4,11
UAE,98,0,0,0,26,2
Slovakia,84,12,0,0,0,2
Mexico,82,29,0,0,4,1
Taiwan,77,10,1,0,20,0
Armenia,72,20,0,0,1,2
Panama,69,0,1,0,0,7
Argentina,68,3,2,0,3,1
Bulgaria,67,5,2,0,0,0
Vietnam,66,5,0,0,16,0
Croatia,65,8,0,0,4,0
Colombia,65,11,0,0,1,0
Serbia,65,8,0,0,1,4
South Africa,62,0,0,0,0,0
Algeria,60,0,5,1,10,0
Latvia,60,26,0,0,1,0
Ecuador,58,0,2,0,0,2
Brunei,56,2,0,0,0,1
Albania,55,4,1,0,0,2
Hungary,50,11,1,0,2,0
