Country,Cases,Deaths,Today Cases,Today Deaths,Recovered,Critical,Cases per million,Mortality Rate
USA,215300,5110,297,8,8878,5005,650.0,2.37
Italy,110574,13155,0,0,16847,4035,1829.0,11.9
Spain,104118,9387,0,0,22647,5872,2227.0,9.02
China,81554,3312,0,0,76238,466,57.0,4.06
Germany,77981,931,0,0,18700,3408,931.0,1.19
France,56989,4032,0,0,10935,6017,873.0,7.08
Iran,47593,3036,0,0,15473,3871,567.0,6.38
UK,29474,2352,0,0,135,163,434.0,7.98
Switzerland,17768,488,0,0,2967,348,2053.0,2.75
Turkey,15679,277,0,0,333,979,186.0,1.77
Belgium,13964,828,0,0,2132,1088,1205.0,5.93
Netherlands,13614,1173,0,0,250,1053,795.0,8.62
Austria,10711,146,0,0,1436,215,1189.0,1.36
S. Korea,9976,169,89,4,5828,55,195.0,1.69
Canada,9731,129,0,15,1736,120,258.0,1.33
Portugal,8251,187,0,0,43,230,809.0,2.27
Brazil,6931,244,51,2,127,296,33.0,3.52
Israel,6092,26,0,0,241,95,704.0,0.43
Australia,5106,23,58,0,345,50,200.0,0.45
Sweden,4947,239,0,0,103,393,490.0,4.83
Norway,4877,44,0,0,13,105,900.0,0.9
Czechia,3589,39,0,0,61,70,335.0,1.09
Ireland,3447,85,0,0,5,103,698.0,2.47
Denmark,3107,104,0,0,894,145,536.0,3.35
Chile,3031,16,0,0,234,31,159.0,0.53
Malaysia,2908,45,0,0,645,102,90.0,1.55
Russia,2777,24,0,0,190,8,19.0,0.86
Ecuador,2758,98,0,0,58,100,156.0,3.55
Poland,2554,43,0,0,56,50,67.0,1.68
Romania,2460,92,0,0,252,57,128.0,3.74
Japan,2384,57,0,0,472,69,19.0,2.39
Luxembourg,2319,29,0,0,80,31,3705.0,1.25
Philippines,2311,96,0,0,50,1,21.0,4.15
Pakistan,2238,31,120,4,94,12,10.0,1.39
India,2032,58,34,0,148,0,1.0,2.85
Thailand,1771,12,0,0,505,23,25.0,0.68
Saudi Arabia,1720,16,0,0,264,31,49.0,0.93
Indonesia,1677,157,0,0,103,0,6.0,9.36
Finland,1446,17,0,0,300,62,261.0,1.18
Greece,1415,51,0,0,52,90,136.0,3.6
South Africa,1380,5,0,0,50,7,23.0,0.36
Mexico,1378,37,163,8,35,1,11.0,2.69
Peru,1323,47,0,9,394,49,40.0,3.55
Panama,1317,32,0,0,9,50,305.0,2.43
Dominican Republic,1284,57,0,0,9,0,118.0,4.44
Iceland,1220,2,0,0,236,12,3575.0,0.16
Argentina,1133,33,0,1,248,0,25.0,2.91
Colombia,1065,17,0,0,39,47,21.0,1.6
Serbia,1060,28,0,0,42,62,121.0,2.64
Singapore,1000,4,0,1,245,24,171.0,0.4
Croatia,963,6,0,0,73,34,235.0,0.62
Algeria,847,58,0,0,61,0,19.0,6.85
Slovenia,841,15,0,0,10,31,405.0,1.78
Qatar,835,2,0,0,71,37,290.0,0.24
UAE,814,8,0,0,61,2,82.0,0.98
New Zealand,797,1,89,0,92,2,165.0,0.13
Ukraine,794,20,0,0,13,0,18.0,2.52
Estonia,779,5,0,0,33,15,587.0,0.64
Egypt,779,52,0,0,179,0,8.0,6.68
Hong Kong,766,4,0,0,147,5,102.0,0.52
Iraq,728,52,0,0,182,0,18.0,7.14
Diamond Princess,712,11,0,0,619,15,,1.54
Morocco,654,39,0,0,29,1,18.0,5.96
Lithuania,581,8,0,0,7,11,213.0,1.38
Armenia,571,4,0,0,31,30,193.0,0.7
Bahrain,569,4,0,0,337,3,334.0,0.7
Hungary,525,20,0,0,40,17,54.0,3.81
Lebanon,479,14,0,0,43,5,70.0,2.92
Bosnia and Herzegovina,459,13,0,0,19,1,140.0,2.83
Latvia,446,0,0,0,1,3,236.0,0.0
Moldova,423,5,0,0,23,44,105.0,1.18
Tunisia,423,12,0,0,5,10,36.0,2.84
Bulgaria,422,10,0,0,20,18,61.0,2.37
Kazakhstan,402,3,22,0,26,6,21.0,0.75
Slovakia,400,1,0,0,3,1,73.0,0.25
Andorra,390,14,0,0,10,12,5048.0,3.59
Costa Rica,375,2,0,0,4,9,74.0,0.53
Azerbaijan,359,5,0,0,26,7,35.0,1.39
North Macedonia,354,11,0,0,17,4,170.0,3.11
Uruguay,350,2,0,0,62,15,101.0,0.57
Taiwan,329,5,0,0,45,0,14.0,1.52
Cyprus,320,9,0,0,28,11,265.0,2.81
Kuwait,317,0,0,0,80,14,74.0,0.0
Burkina Faso,282,16,0,0,46,0,13.0,5.67
Réunion,281,0,0,0,40,3,314.0,0.0
Jordan,278,5,0,0,36,5,27.0,1.8
Albania,259,15,0,0,67,7,90.0,5.79
Afghanistan,237,4,0,0,5,0,6.0,1.69
San Marino,236,28,0,0,13,16,6955.0,11.86
Cameroon,233,6,0,0,10,0,9.0,2.58
Vietnam,222,0,4,0,63,3,2.0,0.0
Honduras,219,14,47,4,3,4,22.0,6.39
Cuba,212,6,0,0,12,3,19.0,2.83
Oman,210,1,0,0,34,3,41.0,0.48
Ghana,195,5,0,0,31,1,6.0,2.56
Ivory Coast,190,1,0,0,9,0,7.0,0.53
Senegal,190,1,0,0,45,0,11.0,0.53
Malta,188,0,0,0,2,2,426.0,0.0
Uzbekistan,181,2,0,0,12,8,5.0,1.1
Nigeria,174,2,0,0,9,0,0.8,1.15
Faeroe Islands,173,0,0,0,75,1,3541.0,0.0
Channel Islands,172,3,0,0,0,0,989.0,1.74
Belarus,163,2,0,0,53,2,17.0,1.23
Mauritius,161,6,0,0,0,1,127.0,3.73
Sri Lanka,146,3,0,0,21,5,7.0,2.05
Venezuela,144,3,0,0,43,6,5.0,2.08
Martinique,135,3,0,0,27,16,360.0,2.22
Palestine,134,1,0,0,18,0,26.0,0.75
Brunei,131,1,0,0,52,3,299.0,0.76
Guadeloupe,125,6,0,0,24,14,312.0,4.8
Montenegro,123,2,0,0,0,4,196.0,1.63
Georgia,117,0,0,0,23,6,29.0,0.0
Kyrgyzstan,116,0,5,0,5,5,18.0,0.0
Bolivia,115,7,0,0,1,3,10.0,6.09
Cambodia,110,0,1,0,34,1,7.0,0.0
DRC,109,9,0,0,3,0,1.0,8.26
Mayotte,101,1,0,0,10,3,370.0,0.99
Trinidad and Tobago,90,5,0,0,1,0,64.0,5.56
Rwanda,82,0,0,0,0,0,6.0,0.0
Gibraltar,81,0,0,0,34,0,2404.0,0.0
Kenya,81,1,0,0,3,2,2.0,1.23
Paraguay,77,3,8,0,2,4,11.0,3.9
Niger,74,5,0,0,0,0,3.0,6.76
Liechtenstein,72,0,0,0,0,0,1888.0,0.0
Isle of Man,68,1,0,0,0,0,800.0,1.47
Madagascar,57,0,0,0,0,6,2.0,0.0
Monaco,55,1,0,0,2,2,1402.0,1.82
Aruba,55,0,0,0,1,0,515.0,0.0
Bangladesh,54,6,0,0,25,1,0.3,11.11
French Guiana,51,0,0,0,15,0,171.0,0.0
Guatemala,46,1,7,0,12,1,3.0,2.17
Barbados,45,0,0,0,0,0,157.0,0.0
Uganda,44,0,0,0,0,0,1.0,0.0
Jamaica,44,3,0,0,2,0,15.0,6.82
Macao,41,0,0,0,10,0,63.0,0.0
El Salvador,41,2,8,0,0,4,6.0,4.88
French Polynesia,37,0,0,0,0,1,132.0,0.0
Togo,36,2,0,0,10,0,4.0,5.56
Zambia,36,0,0,0,0,0,2.0,0.0
Djibouti,33,0,0,0,0,0,33.0,0.0
Bermuda,32,0,0,0,10,0,514.0,0.0
Mali,31,3,0,0,0,0,2.0,9.68
Guinea,30,0,0,0,0,0,2.0,0.0
Ethiopia,29,0,0,0,2,2,0.3,0.0
Cayman Islands,22,1,0,0,0,0,335.0,4.55
Saint Martin,22,1,0,0,2,0,569.0,4.55
Congo,22,2,0,0,0,0,4.0,9.09
Bahamas,21,1,0,0,1,0,53.0,4.76
Tanzania,20,1,0,0,1,0,0.3,5.0
Guyana,19,4,0,1,0,0,24.0,21.05
Maldives,19,0,0,0,13,0,35.0,0.0
